Replication, Day, Queued To, Queue Amount
0, 0, ottawa, 0
0, 0, cornwall, 0
0, 0, renfew, 0
0, 1, ottawa, 0
0, 1, cornwall, 0
0, 1, renfew, 0
0, 2, ottawa, 0
0, 2, cornwall, 0
0, 2, renfew, 0
0, 3, ottawa, 0
0, 3, cornwall, 0
0, 3, renfew, 0
0, 4, ottawa, 0
0, 4, cornwall, 0
0, 4, renfew, 0
0, 5, ottawa, 0
0, 5, cornwall, 0
0, 5, renfew, 0
0, 6, ottawa, 13
0, 6, cornwall, 11
0, 6, renfew, 13
0, 7, ottawa, 28
0, 7, cornwall, 21
0, 7, renfew, 25
0, 8, ottawa, 11
0, 8, cornwall, 0
0, 8, renfew, 0
0, 9, ottawa, 0
0, 9, cornwall, 0
0, 9, renfew, 0
0, 10, ottawa, 0
0, 10, cornwall, 0
0, 10, renfew, 0
0, 11, ottawa, 0
0, 11, cornwall, 0
0, 11, renfew, 0
0, 12, ottawa, 0
0, 12, cornwall, 0
0, 12, renfew, 0
0, 13, ottawa, 13
0, 13, cornwall, 13
0, 13, renfew, 6
0, 14, ottawa, 27
0, 14, cornwall, 21
0, 14, renfew, 12
0, 15, ottawa, 7
0, 15, cornwall, 0
0, 15, renfew, 0
0, 16, ottawa, 0
0, 16, cornwall, 0
0, 16, renfew, 0
0, 17, ottawa, 0
0, 17, cornwall, 0
0, 17, renfew, 0
0, 18, ottawa, 0
0, 18, cornwall, 0
0, 18, renfew, 0
0, 19, ottawa, 0
0, 19, cornwall, 0
0, 19, renfew, 0
0, 20, ottawa, 11
0, 20, cornwall, 8
0, 20, renfew, 9
0, 21, ottawa, 29
0, 21, cornwall, 25
0, 21, renfew, 20
0, 22, ottawa, 1
0, 22, cornwall, 0
0, 22, renfew, 0
0, 23, ottawa, 0
0, 23, cornwall, 0
0, 23, renfew, 0
0, 24, ottawa, 0
0, 24, cornwall, 0
0, 24, renfew, 0
0, 25, ottawa, 0
0, 25, cornwall, 0
0, 25, renfew, 0
0, 26, ottawa, 0
0, 26, cornwall, 0
0, 26, renfew, 0
0, 27, ottawa, 13
0, 27, cornwall, 16
0, 27, renfew, 11
0, 28, ottawa, 27
0, 28, cornwall, 27
0, 28, renfew, 21
0, 29, ottawa, 9
0, 29, cornwall, 2
0, 29, renfew, 0
0, 30, ottawa, 0
0, 30, cornwall, 0
0, 30, renfew, 0
0, 31, ottawa, 0
0, 31, cornwall, 0
0, 31, renfew, 0
0, 32, ottawa, 0
0, 32, cornwall, 0
0, 32, renfew, 0
0, 33, ottawa, 0
0, 33, cornwall, 0
0, 33, renfew, 0
0, 34, ottawa, 12
0, 34, cornwall, 11
0, 34, renfew, 7
0, 35, ottawa, 25
0, 35, cornwall, 19
0, 35, renfew, 22
0, 36, ottawa, 8
0, 36, cornwall, 0
0, 36, renfew, 0
0, 37, ottawa, 0
0, 37, cornwall, 0
0, 37, renfew, 0
0, 38, ottawa, 0
0, 38, cornwall, 0
0, 38, renfew, 0
0, 39, ottawa, 0
0, 39, cornwall, 0
0, 39, renfew, 0
0, 40, ottawa, 0
0, 40, cornwall, 0
0, 40, renfew, 0
0, 41, ottawa, 18
0, 41, cornwall, 7
0, 41, renfew, 5
0, 42, ottawa, 29
0, 42, cornwall, 13
0, 42, renfew, 18
0, 43, ottawa, 4
0, 43, cornwall, 0
0, 43, renfew, 0
0, 44, ottawa, 0
0, 44, cornwall, 0
0, 44, renfew, 0
0, 45, ottawa, 0
0, 45, cornwall, 0
